Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
367150,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TLH882833,Land Covers,1.0,43.1942,-118.37597,1239.4
367149,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TLH994725,Land Covers,1.0,43.09855,-118.2362,1551.2
367175,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TLJ124225,Land Covers,1.0,43.53188,-119.3217,1386.0
367154,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TLJ377277,Land Covers,1.0,43.5846,-119.01035,1263.0
367166,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TMF344993,Land Covers,1.0,41.54267,-117.78649,1327.8
367153,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TMG304906,Land Covers,1.0,42.36456,-117.84524,1470.4
367152,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TMG365723,Land Covers,1.0,42.20028,-117.76916,1436.6
367167,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TMG407510,Land Covers,1.0,42.00879,-117.71613,1357.2
367064,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TNF829089,Land Covers,1.0,40.72686,-116.01834,1505.0
299958,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TNJ020773,Land Covers,1.0,44.04886,-116.97503,657.6
367077,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF597438,Land Covers,1.0,41.02977,-115.1003,2911.4
367076,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF597439,Land Covers,1.0,41.03067,-115.10027,2890.8
367075,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF598440,Land Covers,1.0,41.03155,-115.09906,2809.1
367073,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF600441,Land Covers,1.0,41.03241,-115.09665,2788.0
367078,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF602442,Land Covers,1.0,41.03327,-115.09425,2775.3
367072,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF603443,Land Covers,3.0,41.03415,-115.09304,2774.3
367079,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF605441,Land Covers,1.0,41.03231,-115.09071,2803.9
367065,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF606441,Land Covers,1.0,41.03229,-115.08952,2763.0
367071,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF608441,Land Covers,1.0,41.03225,-115.08714,2713.3
367066,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF609435,Land Covers,2.0,41.02683,-115.08611,2551.0
367068,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF611436,Land Covers,1.0,41.02769,-115.08371,2553.0
367070,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF611439,Land Covers,1.0,41.03039,-115.08363,2640.6
367067,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF612435,Land Covers,1.0,41.02677,-115.08254,2538.2
367069,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TPF614438,Land Covers,1.0,41.02943,-115.08009,2575.6
366335,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TVK640834,Land Covers,1.0,40.50053,-111.42486,1700.0
366334,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TVK640835,Land Covers,1.0,40.50143,-111.42487,1698.3
366460,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TVK781625,Land Covers,1.0,40.31273,-111.25774,2363.1
366461,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TVK865542,Land Covers,1.0,40.23813,-111.15871,2319.7
366462,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,12TWK094497,Land Covers,1.0,40.19764,-110.88956,2025.7
